Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS
"Sat, Dec 3, 2016",7:00 pm,Minnesota Timberwolves,125,Charlotte Hornets,120
"Sat, Dec 3, 2016",8:30 pm,Chicago Bulls,82,Dallas Mavericks,107
"Sat, Dec 3, 2016",10:30 pm,Phoenix Suns,109,Golden State Warriors,138
"Sat, Dec 3, 2016",8:00 pm,Los Angeles Lakers,100,Memphis Grizzlies,103
"Sat, Dec 3, 2016",5:00 pm,Brooklyn Nets,103,Milwaukee Bucks,112
"Sat, Dec 3, 2016",7:30 pm,Boston Celtics,107,Philadelphia 76ers,106
"Sat, Dec 3, 2016",10:00 pm,Miami Heat,92,Portland Trail Blazers,99
"Sat, Dec 3, 2016",7:30 pm,Atlanta Hawks,84,Toronto Raptors,128
"Sat, Dec 3, 2016",9:00 pm,Denver Nuggets,98,Utah Jazz,105
"Sun, Dec 4, 2016",6:00 pm,Orlando Magic,98,Detroit Pistons,92
"Sun, Dec 4, 2016",9:30 pm,Indiana Pacers,111,Los Angeles Clippers,102
"Sun, Dec 4, 2016",7:30 pm,Sacramento Kings,98,New York Knicks,106
"Sun, Dec 4, 2016",7:00 pm,New Orleans Pelicans,92,Oklahoma City Thunder,101
